game_id,representative_title,content_class,issue_count,occurrence_count,alias_titles,source_kinds
theelderscrollsconstructionset,The Elder Scrolls Construction Set,editor_sdk,1,1,The Elder Scrolls Construction Set,disc-metadata-value
theelderscrollsoblivioneditor,The Elder Scrolls Oblivion Editor,editor_sdk,1,1,The Elder Scrolls Oblivion Editor,disc-metadata-value
thewitcheradventureeditor,The Witcher Adventure Editor,editor_sdk,1,1,The Witcher Adventure Editor v 1,disc-metadata-value
tombraiderlegendspieltricks,Tomb Raider Legend Spieltricks,guide_media,1,1,Tomb Raider Legend Spieltricks,disc-metadata-value
tooltiphandlerforarmor,tooltip handler for: ARMOR,utility,1,1,tooltip handler for : ARMOR,disc-metadata-value
tooltiphandlerforhealth,tooltip handler for: HEALTH,utility,1,1,tooltip handler for : HEALTH,disc-metadata-value
tooltiphandlerforlightlevel,tooltip handler for: LIGHTLEVEL,utility,1,1,tooltip handler for : LIGHTLEVEL,disc-metadata-value
tooltiphandlerforsoundlevel,tooltip handler for: SOUNDLEVEL,utility,1,1,tooltip handler for : SOUNDLEVEL,disc-metadata-value
tooltiphandlerforstamina,tooltip handler for: STAMINA,utility,1,1,tooltip handler for : STAMINA,disc-metadata-value
topdemos,Topdemos,disc_noise,4,4,Topdemos,disc-metadata-value
warhammermarkofchaosmapeditor,Warhammer Markof Chaos Map Editor,editor_sdk,1,1,Warhammer Markof Chaos Map Editor,disc-metadata-value
webdesmartsurfer,WEBDE Smart Surfer,utility,24,24,WEBDESmart Surfer,disc-metadata-value
werbung,Werbung,disc_noise,27,27,Werbung,disc-metadata-value
worldinconflictmodkit,World in Conflict Mod Kit,editor_sdk,1,1,Worldin Conflict Mod Kit,disc-metadata-value
xfire,Xfire,utility,3,3,Xfire,disc-metadata-value
zdbackup,Z D Backup,utility,1,1,Z DBackup,disc-metadata-value
