normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds,game_id,first_seen_year,last_seen_issue,last_seen_year,alias_count,alias_titles,legacy_normalized_titles,observed_content_kinds,observed_content_forms,content_class,cleanup_flags,merge_confidence,match_status,match_confidence,canonical_title,canonical_slug,entity_type,release_year,wikipedia_url,wikidata_id,wikidata_url,categories,genres,themes,rating_value,rating_scale,rating_count,rating_source,rating_url,metadata_sources,match_action,match_notes,data_quality_score
imperium romanum kopierschutz,Imperium Romanum Kopierschutz,CBS052008DVD,1,1,high,disc-metadata-value,imperiumromanumkopierschutz,2008,CBS052008DVD,2008,1,Imperium Romanum Kopierschutz,imperium romanum kopierschutz,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
in 80 tagen um die welt,In 80 Tagen um die Welt,CBS022006DVD,1,1,high,disc-metadata-value,in80tagenumdiewelt,2006,CBS022006DVD,2006,1,In 80 Tagen um die Welt,in80 tagen um die welt,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
incadia,Incadia,CBS062005DVD,1,1,high,disc-metadata-value,incadia,2005,CBS062005DVD,2005,1,Incadia,incadia,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
increase stack undr mouse,increase stack undr mouse,CBS012005DVD,1,1,high,disc-metadata-value,increasestackundrmouse,2005,CBS012005DVD,2005,1,increase stack undr mouse,increase stack undr mouse,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
incredible challenge,Incredible Challenge,CBS122007DVD,1,1,high,disc-metadata-value,incrediblechallenge,2007,CBS122007DVD,2007,1,Incredible Challenge,incredible challenge,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
indeo 5,Indeo 5,CBS062005DVD,1,1,high,disc-metadata-value,indeo5,2005,CBS062005DVD,2005,1,Indeo 5,indeo 5,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
indiana jones und das knigreich des kristallschdels,Indiana Jones und das Knigreich des Kristallschdels,CBS052008DVDGold,1,1,high,disc-metadata-value,indianajonesunddasknigreichdeskristallschdels,2008,CBS052008DVDGold,2008,1,Indiana Jonesunddas Knigreichdes Kristallschdels,indiana jonesunddas knigreichdes kristallschdels,unknown,game_title,game,manual_token_repair; split_compound_token,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,50
industrie gigant 2,Industrie Gigant 2,CBS062004,1,1,high,vollversion-fullversion,industriegigant2,2004,CBS062004,2004,1,Industrie Gigant 2,industrie gigant 2,full_version,full_version_game,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
invasion repel and rebuild,Invasion Repel and Rebuild,CBS032005DVD,2,2,high,disc-metadata-value,invasionrepelandrebuild,2005,CBS082007DVDBonus,2007,2,Invasion Repel and Rebuild; Invasion Repeland Rebuild,invasion repel and rebuild; invasion repeland rebuild,unknown,game_title,game,,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,50
inv load parent,inv Load parent,CBS012005DVD,1,1,high,disc-metadata-value,invloadparent,2005,CBS012005DVD,2005,1,inv Load parent,inv load parent,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
iq marathon,IQ Marathon,CBS082007DVDBonus,1,1,high,disc-metadata-value,iqmarathon,2007,CBS082007DVDBonus,2007,1,IQMarathon,iqmarathon,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
iron man,Iron Man,CBS072008DVDGold,5,5,high,disc-metadata-value,ironman,2008,CBS102008DVDGold,2008,2,Iron Man; Iron Man v 1,iron man; iron man v 1,unknown,game_title,game,stripped_version_suffix,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
iron manv 11,Iron Manv 11,CBS092008DVD,1,1,high,disc-metadata-value,ironmanv11,2008,CBS092008DVD,2008,1,Iron Manv11,iron manv11,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,55
isabell werth reitsport,Isabell Werth Reitsport,CBS062007DVD,2,2,high,disc-metadata-value,isabellwerthreitsport,2007,CBS082008DVD,2008,1,Isabell Werth Reitsport,isabell werth reitsport,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
isabel werth reitsport,Isabel Werth Reitsport,CBS072007DVD,2,3,high,disc-metadata-value,isabelwerthreitsport,2007,CBS102007DVD,2007,2,Isabel Werth Reitsport; Isabel Werth Reitsport v 1,isabel werth reitsport; isabel werth reitsport v 1,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
izberite jezik za pripravo,Izberite jezik za pripravo,CBS052010DVDGold,1,1,high,disc-metadata-value,izberitejezikzapripravo,2010,CBS052010DVDGold,2010,1,Izberite jezik za pripravo,izberite jezik za pripravo,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
jacked,Jacked,CBS052007DVD,1,1,high,disc-manifest-path; disc-metadata-value,jacked,2007,CBS052007DVD,2007,1,Jacked,jacked,unknown,game_title,game,,high,matched,high,Jacked : La Guerre des gangs,jacked-la-guerre-des-gangs,game,2006,https://fr.wikipedia.org/wiki/Jacked_%3A_La_Guerre_des_gangs,Q3157375,https://www.wikidata.org/wiki/Q3157375,racing,racing video game,,,,,,,wikidata,retained_best_alias_match,,92
jack keane,Jack Keane,CBS082007DVD,4,5,high,disc-metadata-value,jackkeane,2007,CBS012008DVDSonder,2008,2,Jack Keane; Jack Keane v 1 0,jack keane; jack keane v 1 0,unknown,game_title,game,stripped_version_suffix,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
jack keane and the dokktors island,Jack Keane and the Dokktors Island,CBS082006DVD,1,1,high,disc-metadata-value,jackkeaneandthedokktorsisland,2006,CBS082006DVD,2006,1,Jack Keaneandthe Dokktors Island,jack keaneandthe dokktors island,unknown,game_title,game,split_compound_token,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,46
