normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds,game_id,first_seen_year,last_seen_issue,last_seen_year,alias_count,alias_titles,legacy_normalized_titles,observed_content_kinds,observed_content_forms,content_class,cleanup_flags,merge_confidence,match_status,match_confidence,canonical_title,canonical_slug,entity_type,release_year,wikipedia_url,wikidata_id,wikidata_url,categories,genres,themes,rating_value,rating_scale,rating_count,rating_source,rating_url,metadata_sources,match_action,match_notes,data_quality_score
007 ein quantum trost,007 Ein Quantum Trost,CBS022009DVDGold,1,1,high,disc-metadata-value,007einquantumtrost,2009,CBS022009DVDGold,2009,1,007 Ein Quantum Trost,007 ein quantum trost,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
187 ride or die,187 Ride or Die,CBS082005DVD,1,1,high,disc-metadata-value,187rideordie,2005,CBS082005DVD,2005,1,187 Ride or Die,187 ride or die,unknown,game_title,game,,high,matched,high,187 Ride or Die,187-ride-or-die,game,2005,https://en.wikipedia.org/wiki/187_Ride_or_Die,Q2506605,https://www.wikidata.org/wiki/Q2506605,racing,racing video game,,,,,,,wikidata,retained_best_alias_match,,92
18 wheels of steel haulin,18 Wheels of Steel Haulin,CBS042008DVD,1,2,high,disc-metadata-value,18wheelsofsteelhaulin,2008,CBS042008DVD,2008,1,18 Wheels of Steel Haulin,18 wheels of steel haulin,unknown,game_title,game,manual_token_repair,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,CBS072005DVD,1,1,high,disc-metadata-value,1944winterschlachtindenardennen,2005,CBS072005DVD,2005,1,1944 Winterschlacht in den Ardennen,1944 winterschlacht in den ardennen,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
2 ritter auf der suche nach der hinreissenden herzelinde,2 Ritter - Auf der Suche nach der hinreißenden Herzelinde,CBS032009DVDGold,1,1,high,disc-metadata-value,2ritteraufdersuchenachderhinreissendenherzelinde,2009,CBS032009DVDGold,2009,1,2 Ritter - Auf der Suche nach der hinreißenden Herzelinde,2 ritter auf der suche nach der hinrei enden herzelinde,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
442 fussball manager,442 Fussball Manager,CBS112005DVD,1,1,high,disc-metadata-value,442fussballmanager,2005,CBS112005DVD,2005,1,442 Fussball Manager,442 fussball manager,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
4 story,4 Story,CBS072009DVD,1,1,high,disc-metadata-value,4story,2009,CBS072009DVD,2009,1,4 Story,4 story,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
64 bit vier,64 Bit)vier,CBS092007DVD,1,1,high,disc-metadata-value,64bitvier,2007,CBS092007DVD,2007,1,64 Bit)vier,64 bit vier,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
abdurchdie hecke,Abdurchdie Hecke,CBS082006DVD,1,1,high,disc-metadata-value,abdurchdiehecke,2006,CBS082006DVD,2006,1,Abdurchdie Hecke,abdurchdie hecke,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
abenteuer auf dem reiterhof das abenteuer rund ums pferd,Abenteuer auf dem Reiterhof Das Abenteuer rund ums Pferd,CBS112007DVD,1,2,high,disc-metadata-value,abenteueraufdemreiterhofdasabenteuerrundumspferd,2007,CBS112007DVD,2007,1,Abenteuer auf dem Reiterhof Das Abenteuer rund ums Pferd,abenteuer auf dem reiterhof das abenteuer rund ums pferd,unknown,game_title,game,split_compound_token,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,46
ablaze,Ablaze,CBS082007DVDBonus,1,1,high,disc-metadata-value,ablaze,2007,CBS082007DVDBonus,2007,1,Ablaze,ablaze,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
absolute blue,Absolute Blue,CBS082005DVD,1,1,high,disc-metadata-value,absoluteblue,2005,CBS082005DVD,2005,1,Absolute Blue,absolute blue,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,demoted_raw_qid_title; demoted_release_year_conflict; wikidata_only_match; demoted_weak_alias_match,35
achtung roboter,Achtung Roboter,CBS082005DVD,1,1,high,disc-metadata-value,achtungroboter,2005,CBS082005DVD,2005,1,Achtung Roboter,achtung roboter,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
act of war direct action,Act of War: Direct Action,CBS032005DVD,2,2,high,disc-metadata-value,actofwardirectaction,2005,CBS052005DVD,2005,1,Act of War Direct Action,act of war direct action,unknown,game_title,game,display_title_backfilled_from_canonical,high,matched,high,Act of War: Direct Action,act-of-war-direct-action,game,2005,https://en.wikipedia.org/wiki/Act_of_War%3A_Direct_Action,Q343120,https://www.wikidata.org/wiki/Q343120,strategy,real-time strategy,,,,,,,wikidata,retained_best_alias_match,,92
act of war high treason,Act of War: High Treason,CBS042006DVD,1,1,high,disc-metadata-value,actofwarhightreason,2006,CBS042006DVD,2006,1,Act of War High Treason,act of war high treason,unknown,game_title,game,display_title_backfilled_from_canonical,high,matched,high,Act of War: High Treason,act-of-war-high-treason,expansion,2006,https://en.wikipedia.org/wiki/Act_of_War%3A_High_Treason,Q609537,https://www.wikidata.org/wiki/Q609537,strategy,real-time strategy,,73/100,,,Kritikanstvo,https://www.wikidata.org/wiki/Q117190337,wikidata,retained_best_alias_match,,95
actua soccer 2,Actua Soccer 2,CBS092000,1,1,high,vollversion-fullversion,actuasoccer2,2000,CBS092000,2000,1,Actua Soccer 2,actua soccer 2,full_version,full_version_game,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
actua soccer featuring oliver bierhoff,Actua Soccer Featuring Oliver Bierhoff,CBS062006DVD,1,1,high,disc-metadata-value,actuasoccerfeaturingoliverbierhoff,2006,CBS062006DVD,2006,1,Actua Soccer Featuring Oliver Bierhoff,actua soccer featuring oliver bierhoff,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
adash stadt der magie kapitel 11,Adash - Stadt der Magie - Kapitel 11,CBS112008DVD,1,1,high,disc-metadata-value,adashstadtdermagiekapitel11,2008,CBS112008DVD,2008,1,Adash - Stadt der Magie - Kapitel 11,adash stadt der magie kapitel11,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
adrenalin extreme show,Adrenalin: Extreme Show,CBS062006DVD,2,2,high,disc-metadata-value,adrenalinextremeshow,2006,CBS022007DVD,2007,1,Adrenalin Extreme Show,adrenalin extreme show,unknown,game_title,game,display_title_backfilled_from_canonical,high,matched,high,Adrenalin: Extreme Show,adrenalin-extreme-show,game,2005,https://en.wikipedia.org/wiki/Adrenalin%3A_Extreme_Show,Q116783474,https://www.wikidata.org/wiki/Q116783474,racing,racing video game,,,,,,,wikidata,retained_best_alias_match,,92
afrika corps vs,Afrika Corps vs,CBS042005DVD,1,1,high,disc-metadata-value,afrikacorpsvs,2005,CBS042005DVD,2005,1,Afrika Corps vs,afrika corps vs,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
a gamewitha kitty,A Gamewitha Kitty,CBS082007DVDBonus,1,1,high,disc-metadata-value,agamewithakitty,2007,CBS082007DVDBonus,2007,1,AGamewitha Kitty,agamewitha kitty,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
agatha christie,Agatha Christie,CBS032006DVD,1,1,high,disc-metadata-value,agathachristie,2006,CBS032006DVD,2006,1,Agatha Christie,agatha christie,unknown,game_title,game,,high,matched,high,Agatha Christie (video game series),agatha-christie-video-game-series,game,,https://en.wikipedia.org/wiki/Agatha_Christie_%28video_game_series%29,Q2826457,https://www.wikidata.org/wiki/Q2826457,other,,,,,,,,wikidata,retained_best_alias_match,,88
agatha christie das bseunterder sonne,Agatha Christie Das Bseunterder Sonne,CBS042008DVD,1,1,high,disc-metadata-value,agathachristiedasbseunterdersonne,2008,CBS042008DVD,2008,1,Agatha Christie Das Bseunterder Sonne,agatha christie das bseunterder sonne,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
agatha christie mordim orient express,Agatha Christie Mordim Orient Express,CBS022007DVD,3,3,high,disc-metadata-value,agathachristiemordimorientexpress,2007,CBS042007DVDGold,2007,1,Agatha Christie Mordim Orient Express,agatha christie mordim orient express,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
agatha christie unddanngabskeinesmehr,Agatha Christie Unddanngabskeinesmehr,CBS052006DVD,1,1,high,disc-metadata-value,agathachristieunddanngabskeinesmehr,2006,CBS052006DVD,2006,1,Agatha Christie Unddanngabskeinesmehrv,agatha christie unddanngabskeinesmehrv,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
age of conan,Age of Conan,CBS032006DVD,1,1,high,disc-metadata-value,ageofconan,2006,CBS032006DVD,2006,1,Age of Conan,age of conan,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
age of conan hyborian adventures,Age of Conan Hyborian Adventures,CBS022007DVD,3,3,high,disc-metadata-value,ageofconanhyborianadventures,2007,CBS072007DVD,2007,1,Ageof Conan Hyborian Adventures,ageof conan hyborian adventures,unknown,game_title,game,manual_token_repair,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
age of empires,Age of Empires,CBS052006DVD,4,4,high,disc-metadata-value,ageofempires,2006,CBS062007DVD,2007,1,Ageof Empiresv,ageof empiresv,unknown,game_title,game,manual_token_repair; stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
age of empires 3,Age Of Empires 3,CBS022006DVD,3,3,high,disc-metadata-value,ageofempires3,2006,CBS122007DVD,2007,3,Age Of Empires 3 v 1 1; Age of Empires 3 v 1; Age of Empires 3 v 1 01a,age of empires 3v 1; age of empires 3v 1 01a; age of empires 3v 1 1,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,55
age of empires 3 the asian dynasties,Age of Empires 3 The Asian Dynasties,CBS072008DVD,1,1,high,disc-metadata-value,ageofempires3theasiandynasties,2008,CBS072008DVD,2008,1,Ageof Empires3 The Asian Dynastiesv101a,ageof empires3 the asian dynastiesv101a,unknown,game_title,game,manual_token_repair; stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,55
age of empires 3 the warchiefs,Age of Empires 3 The Warchiefs,CBS122007DVD,1,1,high,disc-metadata-value,ageofempires3thewarchiefs,2007,CBS122007DVD,2007,1,Ageof Empires3 The Warchiefsv104a,ageof empires3 the warchiefsv104a,unknown,game_title,game,manual_token_repair; stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,55
age of empires age of discovery,Age of Empires Age of Discovery,CBS072006DVD,1,1,high,disc-metadata-value,ageofempiresageofdiscovery,2006,CBS072006DVD,2006,1,Ageof Empires Ageof Discoveryv,ageof empires ageof discoveryv,unknown,game_title,game,manual_token_repair; stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
age of empires gold edition,Age of Empires Gold Edition,CBS082004,1,1,high,vollversion-fullversion,ageofempiresgoldedition,2004,CBS082004,2004,1,Age of Empires Gold Edition,age of empires,full_version,full_version_game,game,,high,matched,high,Age of Empires,age-of-empires,game,,https://en.wikipedia.org/wiki/Age_of_Empires,Q34811,https://www.wikidata.org/wiki/Q34811,strategy,real-time strategy,,,,,,,wikidata,retained_best_alias_match,,88
age of empires the war chiefs,Age of Empires The War Chiefs,CBS012007DVDGOLD,3,3,high,disc-metadata-value,ageofempiresthewarchiefs,2007,CBS062007DVD,2007,2,Ageof Empires The War Chiefs; Ageof Empires The Warchiefsv,ageof empires the war chiefs; ageof empires the warchiefsv,unknown,game_title,game,manual_token_repair; stripped_version_suffix,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,50
age of mythology,Age of Mythology,CBS012009DVDGold,1,1,high,disc-metadata-value,ageofmythology,2009,CBS012009DVDGold,2009,1,Age of Mythology,age of mythology,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
age of pirates caribbean tales,Age of Pirates: Caribbean Tales,CBS052009DVD,1,1,high,disc-metadata-value,ageofpiratescaribbeantales,2009,CBS052009DVD,2009,1,Age of Pirates Caribbean Tales,age of pirates caribbean tales,unknown,game_title,game,display_title_backfilled_from_canonical,high,matched,high,Age of Pirates: Caribbean Tales,age-of-pirates-caribbean-tales,game,2006,https://en.wikipedia.org/wiki/Age_of_Pirates%3A_Caribbean_Tales,Q2011244,https://www.wikidata.org/wiki/Q2011244,rpg,role-playing video game,,,,,,,wikidata,retained_best_alias_match,,92
ages of empires 3,Ages of Empires 3,CBS112005DVD,1,1,high,disc-metadata-value,agesofempires3,2005,CBS112005DVD,2005,1,Ages of Empires 3,ages of empires 3,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
agon the lost sword of toledo,Agon The Lost Sword of Toledo,CBS052008DVD,1,2,high,disc-metadata-value,agonthelostswordoftoledo,2008,CBS052008DVD,2008,1,Agon The Lost Sword of Toledo,agon the lost sword of toledo,unknown,game_title,game,manual_token_repair,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
airbus a380 excellent edition,Airbus A380 Excellent Edition,CBS092007DVD,1,1,high,disc-metadata-value,airbusa380excellentedition,2007,CBS092007DVD,2007,1,Airbus A380 Excellent Edition,airbus a380 excellent,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
air conflicts,Air Conflicts,CBS062006DVD,1,1,high,disc-metadata-value,airconflicts,2006,CBS062006DVD,2006,1,Air Conflicts,air conflicts,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
air conflicts addon,Air Conflicts Addon,CBS022007DVD,1,1,high,disc-metadata-value,airconflictsaddon,2007,CBS022007DVD,2007,1,Air Conflicts Addon,air conflicts addon,unknown,expansion_or_addon,expansion_or_addon,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,45
airlines tycoon deluxe,Airlines Tycoon Deluxe,CBS122004DVD,1,1,high,disc-metadata-value,airlinestycoondeluxe,2004,CBS122004DVD,2004,1,Airlines Tycoon Deluxe,airlines tycoon deluxe,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
air strike 3 d 2,Air Strike 3 D 2,CBS092005DVD,1,1,high,disc-metadata-value,airstrike3d2,2005,CBS092005DVD,2005,1,Air Strike 3 D 2,air strike 3d 2,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
air taxi,Air Taxi,CBS082007DVDBonus,1,1,high,disc-metadata-value,airtaxi,2007,CBS082007DVDBonus,2007,1,Air Taxi,air taxi,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,demoted_raw_qid_title; wikidata_only_match; demoted_weak_alias_match,45
alan wake,Alan Wake,CBS082006DVD,1,1,high,disc-metadata-value,alanwake,2006,CBS082006DVD,2006,1,Alan Wake,alan wake,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
alarmfr cobra 11 crash time,Alarmfr Cobra 11 Crash Time,CBS022008DVD,1,1,high,disc-metadata-value,alarmfrcobra11crashtime,2008,CBS022008DVD,2008,1,Alarmfr Cobra11 Crash Timev111,alarmfr cobra11 crash timev111,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,55
alarmfr cobra nitro,Alarmfr Cobra Nitro,CBS012007DVD,1,1,high,disc-metadata-value,alarmfrcobranitro,2007,CBS012007DVD,2007,1,Alarmfr Cobra Nitro,alarmfr cobra nitro,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
alarmfuer cobra crash time,Alarmfuer Cobra Crash Time,CBS012008DVD,1,1,high,disc-metadata-value,alarmfuercobracrashtime,2008,CBS012008DVD,2008,1,Alarmfuer Cobra Crash Time,alarmfuer cobra crash time,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
al emmoandthe lost dutchmans mine,Al Emmoandthe Lost Dutchmans Mine,CBS112006DVD,1,1,high,disc-metadata-value,alemmoandthelostdutchmansmine,2006,CBS112006DVD,2006,1,Al Emmoandthe Lost Dutchmans Mine,al emmoandthe lost dutchmans mine,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
alexander,Alexander,CBS022005DVD,1,1,high,disc-metadata-value,alexander,2005,CBS022005DVD,2005,1,Alexander,alexander,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
alexander die stunde der helden,Alexander Die Stunde der Helden,CBS052008DVD,1,2,high,disc-metadata-value,alexanderdiestundederhelden,2008,CBS052008DVD,2008,1,Alexander Die Stunde der Helden,alexander die stunde der helden,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
alexthe allegator,Alexthe Allegator,CBS052007DVD,1,1,high,disc-metadata-value,alextheallegator,2007,CBS052007DVD,2007,1,Alexthe Allegator,alexthe allegator,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
alien arena,Alien Arena,CBS062008DVDGold,1,1,high,disc-metadata-value,alienarena,2008,CBS062008DVDGold,2008,1,Alien Arena,alien arena,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
alien chess,Alien Chess,CBS072007DVD,1,1,high,disc-manifest-path; disc-metadata-value,alienchess,2007,CBS072007DVD,2007,1,Alien Chess,alien chess,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
alien horde,Alien Horde,CBS082007DVDBonus,1,1,high,disc-metadata-value,alienhorde,2007,CBS082007DVDBonus,2007,1,Alien Horde,alien horde,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
alien shooter,Alien Shooter,CBS092006DVD,1,1,high,disc-metadata-value,alienshooter,2006,CBS092006DVD,2006,1,Alien Shooter,alien shooter,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
alien shooter 2,Alien Shooter 2,CBS092007DVD,1,2,high,disc-metadata-value,alienshooter2,2007,CBS092007DVD,2007,1,Alien Shooter 2,alien shooter 2,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
aliens pinball,Aliens Pinball,CBS102006DVD,2,2,high,disc-metadata-value,alienspinball,2006,CBS082007DVDBonus,2007,1,Aliens Pinball,aliens pinball,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
all star strip poker,All Star Strip Poker,CBS092006DVD,1,1,high,disc-metadata-value,allstarstrippoker,2006,CBS092006DVD,2006,1,All Star Strip Poker,all star strip poker,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
alonein the dark 0,Alonein The Dark 0,CBS082006DVD,2,3,high,disc-metadata-value,aloneinthedark,2006,CBS082007DVDGold,2007,2,Alonein The Dark0; Aloneinthe Dark,alonein the dark0; aloneinthe dark,unknown,game_title,game,merged_trailing_zero_ocr,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,50
alternate flip,Alternate Flip,CBS012005DVD,1,1,high,disc-metadata-value,alternateflip,2005,CBS012005DVD,2005,1,Alternate Flip,alternate flip,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
alundo,Alundo,CBS052009DVD,1,1,high,disc-metadata-value,alundo,2009,CBS052009DVD,2009,1,Alundo,alundo,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
america,America,CBS082003,1,1,high,vollversion-fullversion,america,2003,CBS082003,2003,1,America,america,full_version,full_version_game,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
american conquest fight back,American Conquest Fight Back,CBS102006DVD,1,1,high,disc-metadata-value,americanconquestfightback,2006,CBS102006DVD,2006,1,American Conquest Fight Back,american conquest fight back,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
ancient wars sparta,Ancient Wars: Sparta,CBS072007DVDGold,1,1,high,disc-metadata-value,ancientwarssparta,2007,CBS072007DVDGold,2007,1,Ancient Wars Sparta,ancient wars sparta,unknown,game_title,game,display_title_backfilled_from_canonical,high,matched,high,Ancient Wars: Sparta,ancient-wars-sparta,game,2007,https://en.wikipedia.org/wiki/Ancient_Wars%3A_Sparta,Q1159244,https://www.wikidata.org/wiki/Q1159244,strategy,historical video game; real-time strategy,,68/100,,,Kritikanstvo,https://www.wikidata.org/wiki/Q117190337,wikidata,retained_best_alias_match,,95
ancient wars sparta fateof hellas,Ancient Wars Sparta Fateof Hellas,CBS072008DVD,1,1,high,disc-metadata-value,ancientwarsspartafateofhellas,2008,CBS072008DVD,2008,1,Ancient Wars Sparta Fateof Hellasv14,ancient wars sparta fateof hellasv14,unknown,game_title,game,stripped_version_suffix,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; demoted_weak_alias_match,55
andersens maedchen,Andersens Maedchen,CBS102005DVD,1,1,high,disc-metadata-value,andersensmaedchen,2005,CBS102005DVD,2005,1,Andersens Maedchen,andersens maedchen,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
and yet it moves,And Yet It Moves,CBS112007DVD,1,1,high,disc-metadata-value,andyetitmoves,2007,CBS112007DVD,2007,1,And Yet It Moves,and yet it moves,unknown,game_title,game,,high,matched,high,And Yet It Moves,and-yet-it-moves,game,2009,https://en.wikipedia.org/wiki/And_Yet_It_Moves,Q489583,https://www.wikidata.org/wiki/Q489583,platformer; puzzle,puzzle-platformer,,,,,,,wikidata,retained_best_alias_match,release_after_first_issue_possible_preview,92
angel knig spinnfischenin deutschland,Angel Knig Spinnfischenin Deutschland,CBS022008DVD,1,1,high,disc-metadata-value,angelknigspinnfischenindeutschland,2008,CBS022008DVD,2008,1,Angel Knig Spinnfischenin Deutschland,angel knig spinnfischenin deutschland,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
angriff auf die westfront,Angriff auf die Westfront,CBS092005DVD,1,1,high,disc-metadata-value,angriffaufdiewestfront,2005,CBS092005DVD,2005,1,Angriff auf die Westfront,angriff auf die westfront,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
